Player,Team,GP,TOI,Shots Against,Saves,Goals Against,SV%,GAA,GSAA,xG Against,HD Shots Against,HD Saves,HD Goals Against,HDSV%,HDGAA,HDGSAA,MD Shots Against,MD Saves,MD Goals Against,MDSV%,MDGAA,MDGSAA,LD Shots Against,LD Saves,LD Goals Against,LDSV%,LDGAA,LDGSAA,Rush Attempts Against,Rebound Attempts Against,Avg. Shot Distance,Avg. Goal Distance
Aaron Dell,SJS,33,146.45,132,117,15,0.886,6.15,2.69,16.87,47,36,11,0.766,4.51,-0.66,31,29,2,0.935,0.82,2.44,54,52,2,0.963,0.82,1.84,1,17,29.64,17.00
Adam Werner,COL,2,7.5333333333333,15,12,3,0.800,23.89,-0.99,1.13,1,1,0,1.000,0.00,0.22,7,5,2,0.714,15.93,-1.00,7,6,1,0.857,7.96,-0.50,0,0,35.27,38.67
Adin Hill,ARI,13,41.9,45,36,9,0.800,12.89,-2.97,6.03,16,8,8,0.500,11.46,-4.48,12,11,1,0.917,1.43,0.72,17,17,0,1.000,0.00,1.21,0,4,27.04,11.89
Alex Lyon,PHI,3,8.9833333333333,9,7,2,0.778,13.36,-0.79,1.3,3,2,1,0.667,6.68,-0.34,4,3,1,0.750,6.68,-0.43,1,1,0,1.000,0.00,0.07,0,2,35.11,13.50
Alex Nedeljkovic,CAR,4,25.783333333333,19,17,2,0.895,4.65,0.55,2.21,6,5,1,0.833,2.33,0.32,5,5,0,1.000,0.00,0.72,8,7,1,0.875,2.33,-0.43,0,2,33.32,30.50
Alex Stalock,MIN,38,168.75,155,134,21,0.865,7.47,-0.23,18.17,40,29,11,0.725,3.91,-2.20,41,37,4,0.902,1.42,1.87,72,66,6,0.917,2.13,-0.88,1,25,34.02,23.57
Alexandar Georgiev,NYR,34,194.95,195,173,22,0.887,6.77,4.13,24,61,50,11,0.820,3.39,2.43,52,43,9,0.827,2.77,-1.56,82,80,2,0.976,0.62,3.83,2,19,30.78,23.23
Anders Nilsson,OTT,20,105.03333333333,99,88,11,0.889,6.28,2.26,12.88,36,30,6,0.833,3.43,1.92,22,19,3,0.864,1.71,0.15,40,38,2,0.950,1.14,0.85,0,12,32.15,23.09
Andrei Vasilevskiy,TBL,52,270.7,235,203,32,0.864,7.09,-0.51,28.33,72,55,17,0.764,3.77,-1.15,75,68,7,0.907,1.55,3.74,86,78,8,0.907,1.77,-1.88,2,34,30.92,23.66
Anthony Stolarz,ANA,1,2.9333333333333,6,5,1,0.833,20.45,-0.20,0.86,3,3,0,1.000,0.00,0.66,2,2,0,1.000,0.00,0.29,1,0,1,0.000,20.45,-0.93,0,0,23.83,48.00
Antoine Bibeau,COL,2,11.35,8,5,3,0.625,15.86,-1.93,0.82,2,1,1,0.500,5.29,-0.56,4,2,2,0.500,10.57,-1.43,2,2,0,1.000,0.00,0.14,0,0,32.13,24.67
